,movie_name,imdb_id,cast,direction,production_companies,movie_budget,movie_revenue
37,The Amazing Spider-Man 2,tt1872181,"{'Andrew Garfield': 'Peter Parker / Spider-Man', 'Emma Stone': 'Gwen Stacy', 'Jamie Foxx': 'Max Dillon / Electro', 'Dane DeHaan': 'Harry Osborn / Green Goblin', 'Colm Feore': 'Donald Menken', 'Felicity Jones': 'Felicia Hardy', 'Paul Giamatti': 'Aleksei Sytsevich / The Rhino', 'Sally Field': 'Aunt May', 'Embeth Davidtz': 'Mary Parker', 'Campbell Scott': 'Richard Parker', 'Marton Csokas': 'Dr. Ashley Kafka', 'Louis Cancelmi': 'Man in Black Suit', 'Max Charles': 'Young Peter Parker', 'B.J. Novak': 'Allistar Smythe', 'Sarah Gadon': 'Kari', 'Michael Massee': 'Gustav Fiers / The Gentleman', 'Bill Heck': 'G-5 Co-Pilot', 'Teddy Coluca': ""Gwen's Cabbie"", 'Kari Coleman': 'Helen Stacy', 'Skyler Gisondo': 'Howard Stacy', 'Adrian Martinez': 'Bodega Cashier', 'Timothy Adams': 'Pilot', 'J.D. Walsh': 'Dr. Jallings - Science Investigator', 'Stan Lee': 'Graduation Guest', 'Chris Cooper': 'Norman Osborn (uncredited)', 'Frank Deal': 'Agent Berkley (uncredited)', 'Denis Leary': 'Captain Stacy (uncredited)', 'Martin Sheen': 'Uncle Ben (uncredited)', 'Amyrh Harris': ""Young Peter's Friend (uncredited)""}",['Marc Webb'],"['Marvel Entertainment', 'Columbia Pictures', 'Matt Tolmach Productions', 'Arad Productions']",200000000,708962323
38,Spider-Man 3,tt0413300,"{'Tobey Maguire': 'Spider-Man / Peter Parker', 'Kirsten Dunst': 'Mary Jane Watson', 'James Franco': 'New Goblin / Harry Osborn', 'Thomas Haden Church': 'Sandman / Flint Marko', 'Topher Grace': 'Venom / Eddie Brock', 'Bryce Dallas Howard': 'Gwen Stacy', 'Rosemary Harris': 'May Parker', 'J.K. Simmons': 'J. Jonah Jameson', 'James Cromwell': 'Captain Stacey', 'Dylan Baker': 'Dr. Curt Connors', 'Theresa Russell': 'Emma Marko', 'Bill Nunn': ""Joseph 'Robbie' Robertson"", 'Bruce Campbell': ""Maître D'"", 'Elizabeth Banks': 'Miss Brant', 'Ted Raimi': 'Hoffman', 'Perla Haney-Jardine': 'Penny Marko', 'Willem Dafoe': 'Green Goblin / Norman Osborn', 'Cliff Robertson': 'Ben Parker', 'Elya Baskin': 'Mr. Ditkovitch', 'Becky Ann Baker': 'Mrs. Stacy', 'Stan Lee': 'Man in Times Square', 'Michael Papajohn': 'Dennis Carradine / Carjacker', 'Joe Manganiello': 'Flash Thompson', 'Steve Valentine': 'Photographer', 'Robert Curtis Brown': 'Test Site Technician', 'Emilio Rivera': 'Policeman at Sand Truck', 'Jennifer Sparks': 'Jazz Club Waitress (uncredited)'}",['Sam Raimi'],"['Laura Ziskin Productions', 'Marvel Studios', 'Columbia Pictures']",258000000,894983373
39,Avengers: Age of Ultron,tt2395427,"{'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Chris Hemsworth': 'Thor Odinson', 'Mark Ruffalo': 'Bruce Banner / Hulk', 'Chris Evans': 'Steve Rogers / Captain America', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow', 'Jeremy Renner': 'Clint Barton / Hawkeye', 'James Spader': 'Ultron (voice)', 'Paul Bettany': 'Jarvis / Vision', 'Elizabeth Olsen': 'Wanda Maximoff / Scarlet Witch', 'Aaron Taylor-Johnson': 'Pietro Maximoff / Quicksilver', 'Samuel L. Jackson': 'Nick Fury', 'Don Cheadle': ""James 'Rhodey' Rhodes / War Machine"", 'Cobie Smulders': 'Maria Hill', 'Anthony Mackie': 'Sam Wilson / The Falcon', 'Hayley Atwell': 'Peggy Carter', 'Idris Elba': 'Heimdall', 'Linda Cardellini': 'Laura Barton', 'Stellan Skarsgård': 'Erik Selvig', 'Claudia Kim': 'Dr. Helen Cho', 'Thomas Kretschmann': 'Baron Wolfgang von Strucker', 'Andy Serkis': 'Ulysses Klaue', 'Julie Delpy': 'Madame B', 'Stan Lee': 'Stan Lee', 'Alma Noce': 'Sokovian Family', 'Barry Aird': 'Sokovian Police Captain', 'Kerry Condon': 'Friday (voice)', 'Josh Brolin': 'Thanos (uncredited)', 'Lou Ferrigno': 'Hulk (voice) (uncredited)'}",['Joss Whedon'],['Marvel Studios'],365000000,1405403694
40,Deadpool,tt1431045,"{'Ryan Reynolds': 'Wade Wilson / Deadpool', 'Morena Baccarin': 'Vanessa', 'Ed Skrein': 'Ajax', 'T.J. Miller': 'Weasel', 'Gina Carano': 'Angel Dust', 'Leslie Uggams': 'Blind Al', 'Brianna Hildebrand': 'Negasonic Teenage Warhead', 'Karan Soni': 'Dopinder', 'Jed Rees': 'Recruiter', 'Stefan Kapičić': 'Colossus (voice)', 'Kyle Cassie': 'Gavin Merchant', 'Taylor Hickson': 'Meghan Orlovsky', 'Em Haine': 'Whisper Girlfriend', 'Stan Lee': 'Strip Club DJ', 'Benjamin Wilkinson': 'No5 Orange Manager', 'Victoria De Mare': 'Stripper (uncredited)'}",['Tim Miller'],"['20th Century Fox', ""The Donners' Company"", 'Genre Films']",58000000,783100000
41,Spider-Man: Homecoming,tt2250912,"{'Tom Holland': 'Peter Parker / Spider-Man', 'Michael Keaton': 'Adrian Toomes / Vulture', 'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Marisa Tomei': 'May Parker', 'Jon Favreau': ""Harold 'Happy' Hogan"", 'Gwyneth Paltrow': ""Virginia 'Pepper' Potts"", 'Zendaya': ""Michelle 'MJ' Jones"", 'Donald Glover': 'Aaron Davis', 'Jacob Batalon': 'Ned', 'Laura Harrier': 'Liz', 'Tony Revolori': ""Eugene 'Flash' Thompson"", 'Bokeem Woodbine': 'Herman Schultz / Shocker', 'Tyne Daly': 'Anne Marie Hoag', 'Hannibal Buress': 'Coach Wilson', 'Kenneth Choi': 'Principal Morita', 'Selenis Leyva': 'Ms. Warren', 'Angourie Rice': 'Betty Brant', 'Martin Starr': 'Mr. Harrington', 'Garcelle Beauvais': 'Doris Toomes', 'Michael Mando': 'Mac Gargan', 'Logan Marshall-Green': 'Jackson Brice / Shocker', 'Jennifer Connelly': 'Karen (voice)', 'Gary Weeks': 'Agent Foster', 'Jorge Lendeborg Jr.': 'Jason Ionello', 'Josie Totah': 'Seymour', 'Hemky Madera': 'Mr. Delmar', 'Zach Cherry': 'Street Vendor', 'Sondra James': 'Yelling Woman', 'Bob Adrian': 'Yelling Man', 'Stan Lee': 'Gary', 'Chris Evans': 'Steve Rogers / Captain America', 'Kerry Condon': 'F.R.I.D.A.Y. (voice)', 'Amy Hill': 'Decathlon Moderator', 'Martha Kelly': 'Tour Guide', 'Jennifer Kim': 'Ferry Mom', 'Harrison Osterfield': 'Midtown High Student'}",['Jon Watts'],"['Marvel Studios', 'Pascal Pictures', 'LStar Capital', 'Columbia Pictures']",175000000,880166924
42,Iron Man 2,tt1228705,"{'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Gwyneth Paltrow': ""Virginia 'Pepper' Potts"", 'Don Cheadle': ""James 'Rhodey' Rhodes / War Machine"", 'Scarlett Johansson': 'Natalie Rushman / Natasha Romanoff / Black Widow', 'Sam Rockwell': 'Justin Hammer', 'Mickey Rourke': 'Ivan Vanko / Whiplash', 'Samuel L. Jackson': 'Nick Fury', 'Clark Gregg': 'Phil Coulson', 'John Slattery': 'Howard Stark', 'Garry Shandling': 'Senator Stern', 'Paul Bettany': 'J.A.R.V.I.S. (voice)', 'Leslie Bibb': 'Christine Everhart', 'Kate Mara': 'U.S. Marshal', 'Jon Favreau': ""Harold 'Happy' Hogan"", 'Tim Guinee': 'Major Allen', 'Stan Lee': 'Larry King', 'Helena Mattsson': 'Rebecca', 'Olivia Munn': 'Chess Roberts', 'Elon Musk': 'Elon Musk', 'Krystal Ellsworth': 'Ironette Dancer', 'Rachele Brooke Smith': 'Ironette Dancer', 'Seth Green': 'Expo Fan (uncredited)'}",['Jon Favreau'],"['Marvel Studios', 'Fairview Entertainment']",200000000,623933331
43,Thor: Ragnarok,tt3501632,"{'Chris Hemsworth': 'Thor Odinson', 'Tom Hiddleston': 'Loki', 'Cate Blanchett': 'Hela', 'Tessa Thompson': 'Scrapper 142 / Valkyrie', 'Jeff Goldblum': 'En Dwi Gast / Grandmaster', 'Idris Elba': 'Heimdall', 'Karl Urban': 'Skurge / Executioner', 'Mark Ruffalo': 'Bruce Banner / Hulk', 'Anthony Hopkins': 'Odin', 'Benedict Cumberbatch': 'Stephen Strange / Doctor Strange', 'Taika Waititi': 'Korg / Surtur / Hulk (mo-cap)', 'Rachel House': 'Topaz', 'Clancy Brown': 'Surtur (voice)', 'Tadanobu Asano': 'Hogun', 'Ray Stevenson': 'Volstagg', 'Zachary Levi': 'Fandral', 'Stan Lee': 'Barber', 'Luke Hemsworth': 'Actor Thor', 'Sam Neill': 'Actor Odin', 'Matt Damon': 'Actor Loki (uncredited)', 'Taylor Hemsworth': 'College Girl #2', 'Cohen Holloway': 'Lead Scrapper', ""Alia Seror-O'Neill"": 'Golden Lady #1', 'Jet Tranter': 'Valkyrie Sister #1', 'Rob Mayes': 'Asgardian Man', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow (archive footage / uncredited)', 'Sam Hargrave': 'Gladiator (uncredited)'}",['Taika Waititi'],['Marvel Studios'],180000000,855301806
44,Teenage Mutant Ninja Turtles,tt1291150,"{'Megan Fox': ""April O'Neil"", 'Will Arnett': 'Vernon Fenwick', 'William Fichtner': 'Eric Sacks', 'Danny Woodburn': 'Master Splinter', 'Abby Elliott': 'Taylor', 'Noel Fisher': 'Michelangelo', 'Jeremy Howard': 'Donatello', 'Pete Ploszek': 'Leonardo', 'Alan Ritchson': 'Raphael', 'Johnny Knoxville': 'Leonardo (voice)', 'Tony Shalhoub': 'Splinter (voice)', 'Tohoru Masamune': 'Shredder', 'Whoopi Goldberg': 'Bernadette Thompson', 'Derek Mears': 'Dojo Ninja', 'Malina Weissman': ""Young April O'Neil"", 'Taran Killam': 'McNaughton', 'Rick Chambers': 'News Anchor', 'Kevin Kent': 'Foot Soldier (uncredited)'}",['Jonathan Liebesman'],"['Nickelodeon Movies', 'Paramount', 'Platinum Dunes', 'Mirage Studios']",125000000,485004754
45,Spider-Man: Far From Home,tt6320628,"{'Tom Holland': 'Peter Parker / Spider-Man', 'Samuel L. Jackson': 'Nick Fury', 'Jake Gyllenhaal': 'Quentin Beck / Mysterio', 'Marisa Tomei': 'May Parker', 'Jon Favreau': ""Harold 'Happy' Hogan"", 'Zendaya': ""Michelle 'MJ' Jones"", 'Jacob Batalon': 'Ned Leeds', 'Tony Revolori': ""Eugene 'Flash' Thompson"", 'Angourie Rice': 'Betty Brant', 'Martin Starr': 'Mr. Harrington', 'J.B. Smoove': 'Mr. Dell', 'Jorge Lendeborg Jr.': 'Jason Ionello', 'Cobie Smulders': 'Maria Hill', 'Peter Billingsley': 'William Ginter Riva', 'Clare Dunne': 'Victoria', 'Nicholas Gleaves': 'Guterman', 'Claire Rushbrook': 'Janice', 'J.K. Simmons': 'J. Jonah Jameson', 'Tuwaine Barrett': 'Officer Bristow (extended cut)', 'Bruno Bilotta': 'Mob Boss (uncredited)', 'Jeff Bridges': 'Obadiah Stane (archive footage) (uncredited)', 'Gianni Calchetti': 'Venetian Fish Stall Owner (uncredited)', 'Massi Furlan': 'Flight Attendant (uncredited)', 'Ben Mendelsohn': 'Talos (uncredited)', 'Anthony Molinari': 'Mob Guy (uncredited)'}",['Jon Watts'],"['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",160000000,1131927996
46,Iron Man,tt0371746,"{'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Terrence Howard': ""James 'Rhodey' Rhodes"", 'Jeff Bridges': 'Obadiah Stane / Iron Monger', 'Gwyneth Paltrow': ""Virginia 'Pepper' Potts"", 'Leslie Bibb': 'Christine Everhart', 'Bill Smitrovich': 'General Gabriel', 'Paul Bettany': 'J.A.R.V.I.S. (voice)', 'Jon Favreau': ""Harold 'Happy' Hogan"", 'Shaun Toub': 'Yinsen', 'Faran Tahir': 'Raza', 'Clark Gregg': 'Phil Coulson', 'Peter Billingsley': 'William Ginter Riva', 'Tim Guinee': 'Major Allen', 'Will Lyman': 'Award Ceremony Narrator (voice)', 'Kevin Foster': 'Jimmy', 'Fahim Fazli': 'Omar / ADR Voice', 'Nazanin Boniadi': 'Amira Ahmed', 'Donna Evans': 'Woman In SUV', 'Stan Lee': 'Stan Lee', 'Tim Griffin': 'CAOC Analyst', 'Samuel L. Jackson': 'Nick Fury (uncredited)'}",['Jon Favreau'],['Marvel Studios'],140000000,585174222
47,Deadpool 2,tt5463162,"{'Ryan Reynolds': 'Wade Wilson / Deadpool / Juggernaut (voice) / Ryan Reynolds', 'Josh Brolin': 'Nathan Summers / Cable', 'Morena Baccarin': 'Vanessa Carlysle', 'Julian Dennison': 'Russell Collins / Firefist', 'Zazie Beetz': 'Neena Thurman / Domino', 'T.J. Miller': 'Jack Hammer / Weasel', 'Leslie Uggams': 'Blind Al', 'Karan Soni': 'Dopinder', 'Brianna Hildebrand': 'Ellie Phimister / Negasonic Teenage Warhead', 'Jack Kesy': 'Black Tom Cassidy', 'Eddie Marsan': 'Headmaster', 'Shioli Kutsuna': 'Yukio / Pinkie Pie', 'Stefan Kapičić': 'Piotr Rasputin / Colossus (voice)', 'Rob Delaney': 'Peter', 'Lewis Tan': 'Gaveedra-Seven / Shatterstar', 'Bill Skarsgård': 'Axel Cluney / Zeitgeist', 'Terry Crews': 'Jesse Aaronson / Bedlam', 'Brad Pitt': 'Telford Porter / Vanisher', 'Paul Wu': 'Hong Kong Boss', 'Robert Maillet': 'Sluggo', 'Alan Tudyk': 'Luke - Redneck #1', 'Matt Damon': 'Redneck #2', 'Michasha Armstrong': 'Swat Captain (School)', 'Hayley Sales': ""Cable's Wife"", 'Mike Dopud': 'Prison Guard', 'Luke Roessler': 'Cereal Kid', 'Sala Baker': 'Older Russell Collins / Firefist', 'David Leitch': 'Ground Chuck Mutant', 'Sam Hargrave': 'DMC Guard (uncredited)', 'Nicholas Hoult': 'Beast (uncredited)', 'James McAvoy': 'Charles Xavier (uncredited)', 'Evan Peters': 'Quicksilver (uncredited)', 'Tye Sheridan': 'Cyclops (uncredited)', 'Alexandra Shipp': 'Storm (uncredited)', 'Kodi Smit-McPhee': 'Nightcrawler (uncredited)', 'Hugh Jackman': 'Wolverine / Logan (archive footage) (uncredited)'}",['David Leitch'],"['Maximum Effort', 'Genre Films', '20th Century Fox']",110000000,785896609
48,Justice League,tt0974015,"{'Ben Affleck': 'Batman / Bruce Wayne', 'Henry Cavill': 'Superman / Clark Kent /  Kal-El', 'Amy Adams': 'Lois Lane', 'Gal Gadot': 'Wonder Woman / Diana Prince', 'Ezra Miller': 'The Flash / Barry Allen', 'Jason Momoa': 'Aquaman / Arthur Curry', 'Ray Fisher': 'Cyborg / Victor Stone', 'Jeremy Irons': 'Alfred Pennyworth', 'Diane Lane': 'Martha Kent', 'Connie Nielsen': 'Queen Hippolyta', 'J.K. Simmons': 'Commissioner James Gordon', 'Ciarán Hinds': 'Steppenwolf (voice)', 'Amber Heard': 'Mera', 'Joe Morton': 'Silas Stone', 'Lisa Loven Kongsli': 'Menalippe', 'Ingvar E. Sigurðsson': 'Mayor', 'David Thewlis': 'Ares', 'Michael McElhatton': 'Black Clad Alpha', 'Lara Decaro': 'School Girl', 'Francis Magee': 'Ancient King of Men', 'Doutzen Kroes': 'Venelia', 'Marc McClure': 'Officer Ben Sadowsky', 'Jack Yang': 'Garret Bowman', 'Holt McCallany': 'Burglar (uncredited)', 'Billy Crudup': 'Henry Allen (uncredited)', 'Eleanor Matsuura': 'Epione (uncredited)', 'Jesse Eisenberg': 'Lex Luthor (uncredited)', 'Joe Manganiello': 'Slade Wilson / Deathstroke (uncredited)', 'Daniel Stisen': 'Ancient Warrior (uncredited)', 'Robin Wright': 'Antiope (uncredited)'}","['Joss Whedon', 'Zack Snyder']","['RatPac Entertainment', 'Cruel & Unusual Films', 'Atlas Entertainment', 'Warner Bros. Pictures', 'DC Films']",300000000,657926987
49,Captain America: Civil War,tt3498820,"{'Chris Evans': 'Steve Rogers / Captain America', 'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow', 'Sebastian Stan': ""James 'Bucky' Barnes / Winter Soldier"", 'Chadwick Boseman': ""T'Challa / Black Panther"", 'Daniel Brühl': 'Baron Helmut Zemo', 'Elizabeth Olsen': 'Wanda Maximoff / Scarlet Witch', 'Paul Bettany': 'Vision', 'Don Cheadle': ""Lieutenant James 'Rhodey' Rhodes / War Machine"", 'Anthony Mackie': 'Sam Wilson / Falcon', 'Tom Holland': 'Peter Parker / Spider-Man', 'Jeremy Renner': 'Clint Barton / Hawkeye', 'Paul Rudd': 'Scott Lang / Ant-Man', 'Emily VanCamp': 'Sharon Carter / Agent 13', 'Martin Freeman': 'Everett K. Ross', 'William Hurt': ""Secretary of State Thaddeus 'Thunderbolt' Ross"", 'John Kani': ""King T'Chaka"", 'Marisa Tomei': 'May Parker', 'Frank Grillo': 'Brock Rumlow / Crossbones', 'John Slattery': 'Howard Stark', 'Hope Davis': 'Maria Stark', 'Alfre Woodard': 'Miriam Sharpe', 'Jackson Spidell': 'Josef / Super Soldier #1', 'Jin Shijia': 'Chinese Newscaster', 'Jim Rash': 'M.I.T. Liaison', 'Stan Lee': 'FedEx Driver', 'Kerry Condon': 'F.R.I.D.A.Y. (voice)', 'Julianna Guill': ""Stark's Assistant"", 'Joe Russo': 'Dr. Theo Broussard (uncredited)', 'Ray Sahetapy': 'Auctioneer (uncredited)'}","['Anthony Russo', 'Joe Russo']",['Marvel Studios'],250000000,1155046416
50,X-Men: Apocalypse,tt3385516,"{'James McAvoy': 'Charles Xavier / Professor X', 'Michael Fassbender': 'Erik Lehnsherr / Magneto', 'Oscar Isaac': 'En Sabah Nur / Apocalypse', 'Jennifer Lawrence': 'Raven Darkholme / Mystique', 'Nicholas Hoult': 'Hank McCoy / Beast', 'Rose Byrne': 'Moira MacTaggert', 'Tye Sheridan': 'Scott Summers / Cyclops', 'Sophie Turner': 'Jean Grey', 'Evan Peters': 'Peter Maximoff / Quicksilver', 'Kodi Smit-McPhee': 'Kurt Wagner / Nightcrawler', 'Olivia Munn': ""Elizabeth 'Betsy' Braddock / Psylocke"", 'Alexandra Shipp': 'Ororo Munroe / Storm', 'Lucas Till': 'Alex Summers / Havok', 'Josh Helman': 'Col. William Stryker', 'Ben Hardy': 'Warren Worthington III / Angel', 'Lana Condor': 'Jubilation Lee / Jubilee', 'Monique Ganderton': 'Horseman - Death', 'Fraser Aitcheson': 'Horseman - War', 'Ally Sheedy': ""Scott's Teacher"", 'Anthony Konechny': 'School Jock', 'Joanne Boland': 'Mrs. Summers', 'Manuel Tadros': 'Clan Akkaba Leader', 'Carolina Bartczak': 'Magda', 'Tómas Lemarquis': 'Caliban', 'Stan Lee': 'Stan Lee', 'Stephen Bogaert': 'Pentagon General Hastings', 'Conrad Coates': 'Pentagon General Fields', 'Shawn Campbell': 'Military Submarine Official', 'Joe Cobden': 'Air Force Official', 'Zeljko Ivanek': 'Pentagon Scientist', 'Chris Cavener': 'Finsherman', 'Hugh Jackman': 'Logan / Weapon X / Wolverine (uncredited)'}",['Bryan Singer'],"[""The Donners' Company"", 'Bad Hat Harry Productions', 'Genre Films', 'Hutch Parker Entertainment', '20th Century Fox']",178000000,543934787
51,Iron Man 3,tt1300854,"{'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Gwyneth Paltrow': ""Virginia 'Pepper' Potts"", 'Don Cheadle': ""James 'Rhodey' Rhodes / Iron Patriot"", 'Guy Pearce': 'Aldrich Killian', 'Ben Kingsley': 'Trevor Slattery', 'Rebecca Hall': 'Maya Hansen', 'Stephanie Szostak': 'Ellen Brandt', 'James Badge Dale': 'Savin', 'William Sadler': 'President Matthew Ellis', 'Miguel Ferrer': 'Vice President Rodriguez', 'Jon Favreau': ""Harold 'Happy' Hogan"", 'Dale Dickey': 'Mrs. Davis', 'Ty Simpkins': 'Harley Keener', 'Paul Bettany': 'J.A.R.V.I.S. (voice)', 'Wang Xueqi': 'Doctor Wu', 'Shaun Toub': 'Ho Yinsen', 'Bill Maher': 'Himself', 'Glenn Foster': 'Pushy Tabloid Reporter', 'Spencer Garrett': 'Rose Hill Sheriff', 'Tom Virtue': 'Thomas Richards', 'Yvonne Zima': 'Miss Elk Ridge', 'Stan Lee': 'Pageant Judge', 'Adam Pally': 'Gary the Cameraman', 'Rebecca Mader': 'Sweat Shop Agent', 'Jenna Ortega': ""Vice President's Daughter"", 'Corey Hawkins': 'Navy Op', 'Linden Ashby': 'Commander', 'Sala Baker': 'Extremis Soldier', 'Dennis Keiffer': 'Extremis Soldier', 'Jade Quon': 'Extremis Soldier', 'Mark Aaron Wagner': 'Extremis Soldier', 'Mark Ruffalo': 'Bruce Banner (uncredited)'}",['Shane Black'],['Marvel Studios'],200000000,1215577205
52,Captain Marvel,tt4154664,"{'Brie Larson': 'Carol Danvers / Vers / Captain Marvel', 'Samuel L. Jackson': 'Nick Fury', 'Ben Mendelsohn': 'Talos / Keller', 'Jude Law': 'Yon-Rogg', 'Annette Bening': 'Supreme Intelligence / Dr. Wendy Lawson', 'Djimon Hounsou': 'Korath', 'Lee Pace': 'Ronan the Accuser', 'Lashana Lynch': 'Maria Rambeau', 'Gemma Chan': 'Minn-Erva', 'Clark Gregg': 'Agent Phil Coulson', 'Rune Temte': 'Bron-Charr', 'Mckenna Grace': 'Young Carol (13 Years Old)', 'Akira Akbar': 'Monica Rambeau (11 Years Old)', 'Matthew Maher': 'Norex', 'Chuku Modu': 'Soh-Larr', 'Vik Sahay': 'Hero Torfan', 'Colin Ford': 'Steve Danvers', 'Kenneth Mitchell': 'Joseph Danvers', 'Stephen A. Chang': 'Cadet Officer', 'Pete Ploszek': 'Bret Johnson', 'Stan Lee': 'Stan Lee', 'Robert Kazinsky': 'Biker (The Don)', 'Patrick Gallagher': 'Security Chief', 'Matthew Bellows': 'Accuser #1', 'Chris Evans': 'Steve Rogers / Captain America (uncredited)', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow (uncredited)', 'Don Cheadle': ""James 'Rhodey' Rhodes / War Machine (uncredited)"", 'Mark Ruffalo': 'Bruce Banner / The Hulk (uncredited)', 'Anthony Molinari': 'S.H.I.E.L.D. Agent (uncredited)'}","['Ryan Fleck', 'Anna Boden']",['Marvel Studios'],152000000,1131416446
53,Wonder Woman,tt0451279,"{'Gal Gadot': 'Diana Prince / Wonder Woman', 'Chris Pine': 'Steve Trevor', 'Connie Nielsen': 'Hippolyta', 'Robin Wright': 'Antiope', 'Danny Huston': 'Ludendorff', 'David Thewlis': 'Sir Patrick / Ares', 'Saïd Taghmaoui': 'Sameer', 'Ewen Bremner': 'Charlie', 'Lucy Davis': 'Etta', 'Elena Anaya': 'Dr. Maru', 'Lilly Aspell': 'Young Diana (8)', 'Lisa Loven Kongsli': 'Menalippe', 'Emily Carey': 'Diana (12)', 'James Cosmo': 'FIeld Marshall Haig', 'Steffan Rhodri': 'Colonel Darnell', 'Rainer Bock': 'Von Hindenberg', 'Eleanor Matsuura': 'Epione', 'Josette Simon': 'Mnemosyne', 'Doutzen Kroes': 'Venelia', 'Caroline Winberg': 'Amazon Army', 'Freddy Carter': 'Soldier', 'Gana Bayarsaikhan': 'Throne Room Amazon', 'Zack Snyder': 'U.S. Soldier (uncredited)'}",['Patty Jenkins'],"['Atlas Entertainment', 'Cruel & Unusual Films', 'DC Films']",149000000,822854286
54,Guardians of the Galaxy Vol. 2,tt3896198,"{'Chris Pratt': 'Peter Quill / Star-Lord', 'Zoe Saldaña': 'Gamora', 'Dave Bautista': 'Drax the Destroyer', 'Vin Diesel': 'Baby Groot (voice)', 'Bradley Cooper': 'Rocket (voice)', 'Michael Rooker': 'Yondu Udonta', 'Karen Gillan': 'Nebula', 'Pom Klementieff': 'Mantis', 'Sylvester Stallone': 'Stakar Ogord', 'Kurt Russell': 'Ego', 'Elizabeth Debicki': 'Ayesha', 'Chris Sullivan': 'Taserface', 'Sean Gunn': 'Kraglin / On-Set Rocket / On-Set Adolescent Groot', 'Tommy Flanagan': 'Tullk', 'Laura Haddock': 'Meredith Quill', 'Ben Browder': 'Sovereign Admiral', 'Luke Cook': ""Zylak's Frenemy"", 'Evan Jones': 'Retch', 'Stephen Blackehart': 'Brahl', 'Steve Agee': 'Gef', 'Rob Zombie': 'Unseen Ravager', 'Kendra Carelli': 'Robot Courtesan', 'Seth Green': 'Howard the Duck (voice)', 'Molly C. Quinn': ""Howard's Date"", 'Michael Rosenbaum': 'Martinex', 'Stan Lee': 'Watcher Informant', 'David Hasselhoff': 'The Form of David Hasselhoff', 'Wyatt Oleff': 'Young Peter Quill', 'Gregg Henry': 'Grandpa Quill', 'Ving Rhames': 'Charlie-27', 'Michelle Yeoh': 'Aleta Ogord', 'Miley Cyrus': 'Mainframe (voice) (uncredited)', 'Jeff Goldblum': 'En Dwi Gast / Grandmaster (uncredited)'}",['James Gunn'],['Marvel Studios'],200000000,863756051
