,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
48,6 July 2022,matbore,," A very funny movie.(Hemsworth, Portman, Bale all three are very good). ).
","Thor Love and Thunder is a very funny movie, but it also has some moving scenes. The scenographies are very nice, and there are a lot of action scenes. Chris Hemsworth, Natalie Portman, Christian Bale, three magnificent actors in the film their interpretation is excellent.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
49,7 July 2022,navendu_krishnan,2," Totally worthless movie
","One of the worst movies of Marvel so far,
It cannot be called as a Super Hero movie, but a comedy movie.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
50,6 July 2022,theffachrif,7," Just like Gorr said: HOW EXCITING!
","Thor: Love and Thunder is about The Space Viking Thor Odinson, after teaming up with Guardians of the Galaxy to help everyone in the galaxy who are in distress. And later he travels to New Asgard to fight a new threat in Gorr The God Butcher who've vowed that all gods will die, only to discover his ex, Jane Foster, who now wields Mjolnir and became the Mighty Thor.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
51,6 July 2022,ahmadrahimkhan,1," Disappointed
","A story for children! Too much hype and this crap??? It was like a parody of original Thor. Jokes were felt like thrusted in the plot and the storyline on its own was too boring, We expected a very strong villian and permanent deaths for major characters in a very tragic way.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
52,7 July 2022,Ketch_Rajath,6," FUN & ENJOYABLE
",Thor love and Thunder is overall fun with great visuals. Christian Bale as usual delivers an award worthy performance. Movie had some good cameos.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
53,9 September 2022,Data-1001,," I blame the direction
","I don't know if Waititi was overworked or what, but it's the direction more than anything which ruins this movie's potential.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
54,19 August 2022,cardsrock,7," Taika to the extreme
","Thor's fourth feature film increasingly blurs the line between fun and farce, although it mostly succeeds in what it sets out to do. Taika gets a little too much free reign as there are many unnecessary jokes. I really hope you like screaming goats. In addition, it's often hard to take the dramatic moments seriously when you think there's about to be a joke inserted to undercut it.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
55,14 July 2022,drakande,1," Taika is destroying Marvel
","Terrible Terrible movie. The plot holes and lack of consistency with the characters and timeline is shocking. It looks like all Taika is good for (apart from repeatedly flashing his name every other line in the end credits) is satire. And yes, it's funny in part, but we're not laughing with you Marvel studios; We're laughing at you as the credibility of all your offerings is disembowelled one character at a time by self grandiosed charlatans like Taika Wahiti. Such a shame. Generations of comic book heroes destroyed by an unthinking egopath.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
56,6 July 2022,vermaarya-99725,4," Taika watiti showing off what he is capable of.
","This movie is so much fun which I was expecting just watching the trailer. This is probably the best Thor movie to date but I have a few problems with it. One, The dialogue with Jane and her problems doesn't really hit for me and another thing is that this movie is a bit too similar to Ragnarok in the sense of cool epic shots like the one with Thor awakening in Ragnarok. All those scenes are great to look at but lose their charm after a while. Otherwise, Chris Hemsworth, Christian bale and Taika watiti are at their absolute best in this movie. Visually this is one of the best MCU movies to date. If you have strayed away from the MCU like me, give this a shot, it's worth it.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
57,6 July 2022,Vishal_s_kumar,8," Love & Thunder
","Thor: Ragnarok was a terrific movie, and Waititi has returned (with a co-writing credit) to deliver the next chapter in the ""Thor"" saga, restoring the atmosphere of the previous odyssey with a slightly heavier round of freewheeling fun, looking to keep the God of Thunder loose and amusing, but also hitting the big guy with some profound emotional weight this time out.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
